throttle,steer,pitch,yaw,roll,jump,boost,handbrake
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,1.0,1.0,0.03224025738967613,0.0,-1.0,-1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,-1.0,-1.0,1.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9140625,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.15625,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,0.328125,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9140625,0.5,0.0,0.0,0.0,1.0,-1.0,-1.0
0.8046875,-0.046875,0.0,0.0,0.0,0.0,-1.0,1.0
0.9921875,-0.8046875,0.0,0.0,0.0,0.0,-1.0,1.0
0.9921875,-0.9921875,1.0,-1.0,0.017456721742448784,1.0,-1.0,1.0
0.9921875,-0.8359375,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.34375,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.2265625,1.0,1.0,0.21718685677125918,1.0,-1.0,1.0
0.9921875,-0.25,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.6484375,1.0,1.0,-0.5358518761297056,1.0,-1.0,1.0
0.9921875,-0.875,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.96875,0.7759923799927335,0.3778484683817531,0.019501355815311244,1.0,-1.0,1.0
0.9921875,-0.984375,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.984375,1.0,1.0,-0.2859918938252124,1.0,-1.0,1.0
0.9921875,-0.9921875,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.9921875,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.9921875,-0.16368445772471155,0.6263273497620038,0.40448935098236155,1.0,-1.0,1.0
0.9921875,-0.9921875,0.0,0.0,0.0,1.0,-1.0,1.0
0.9921875,-0.984375,-0.25326019823510043,0.22522574504289294,0.6341990444834444,1.0,-1.0,1.0
